linkedinID,name_lnkd,industry_lnkd,type_lnkd,size_lnkd,founded_lnkd,website_lnkd,hqcity_lnkd,hqstate_lnkd,hqzip_lnkd,hqcountry_lnkd,specialties_lnkd,description_lnkd
carefusion,CareFusion,Medical Devices,Public Company,"10,001+ employees",2009,http://www.carefusion.com/,"San Diego,",CA,92130,United States,"Medication Management, Infusion, Respiratory Care, Infection Prevention, Procedural Solutions","CareFusion is a global corporation serving the health care industry with products and services that help improve the cost and safety of health care for generations to come. The company develops market-leading technologies including AlarisÂ infusion pumps, PyxisÂ automated dispensing and patient identification systems, AVEAÂ, AirLifeÈ and LTVÂ series ventilation and respiratory products, ChloraPrepÂ skin preparation products, MedMinedÈ services for data mining surveillance, V. MuellerÂ surgical instruments and an extensive line of products that support interventional medicine. CareFusion employs more than 15,000 people across its global operations."
cb&i,CB&I,Oil & Energy,Public Company,"10,001+ employees",,http://www.cbi.com/,"The Woodlands,",Texas,77380-2624,United States,"Upstream Oil and Gas, Downstream Oil and Gas, Power, Liquefied Natural Gas, Environmental, Infrastructure, Water and Wastewater, Metals and Mining","CB&I (NYSE:CBI) is the most complete energy infrastructure focused company in the world and a major provider of government services. With 125 years of experience and the expertise of approximately 55,000 employees, CB&I provides reliable solutions while maintaining a relentless focus on safety and an uncompromising standard of quality. For more information, visit www.cbi.com."
cme-group,CME Group,Financial Services,Public Company,1001-5000 employees,1848,http://www.cmegroup.com,Chicago,IL,60606,United States,"futures, commodities, derivatives, risk management, finance, financial services, economics","As the world's leading and most diverse derivatives marketplace, CME Group (www.cmegroup.com) is where the world comes to manage risk. CME Group exchanges offer the widest range of global benchmark products across all major asset classes, including futures and options based on interest rates, equity indexes, foreign exchange, energy, agricultural commodities, metals, weather and real estate. CME Group brings buyers and sellers together through its CME GlobexÂ electronic trading platform and its trading facilities in New York and Chicago. CME Group also operates CME Clearing, one of the worldês leading central counterparty clearing provider in the world, which offers clearing and settlement services for exchange-traded contracts, as well as for over-the-counter derivatives transactions through CME ClearPortÂ. These products and services ensure that businesses everywhere can substantially mitigate counterparty credit risk in both listed and over-the-counter derivatives markets."
continental,Continental,Automotive,Public Company,"10,001+ employees",1871,http://www.continental-corporation.com,Hannover,,D-30165,Germany,Global Automotive Supplier,"Continental develops intelligent technologies for transporting people and their goods. As a reliable partner, the international automotive supplier, tire manufacturer, and industrial partner provides sustainable, safe, comfortable, individual, and affordable solutions. In 2014, the corporation generated preliminary sales of approximately —34.5 billion with its five divisions, Chassis & Safety, Interior, Powertrain, Tire, and ContiTech. Continental employs approximately 190,000 people in 49 countries."
denso,DENSO,Automotive,Public Company,"10,001+ employees",,http://www.globaldenso.com/en/careers/recruiting,,,,,"Climate Control, Head-up Display, Automotive Aftermarket, Heavy Duty, Human Machine Interface, Electric/Hybrid Components, Safety, Robotics, V2X (Connected Vehicle) Technology, Wireless Charging","DENSO is a leading global supplier of advanced automotive technology, systems and components, heading toward an automotive society where cars put less drag on the environment and drivers have fewer worries about traffic accidents. Our products and systems are an important part of nearly every major vehicle make and model around the world. So, if you see it on the road, chances are there's a quality DENSO product under the hood, in the dash or elsewhere on the vehicle. Worldwide, we employ approximately 132,000 people at more than 200 subsidiaries and affiliates in 35 countries around the world. While we have a global network and capabilities, we use our regional expertise to focus on local needs and bring a competitive lineup of innovative technology that our customers have come to count on. Our employees work together seamlessly to develop products, as well as the materials and machines that make them _ from inventing the QR Code to launching world-first in-vehicle solutions like wireless charging, V2X –talking car” technology and the diesel common rail system. Join us and be a part of developing our next world-first product!"
dmc-engineering,DMC Engineering,Industrial Automation,Privately Held,51-200 employees,1996,http://www.dmcinfo.com,Chicago,IL,60614,United States,"Industial Automation, Systems Integration, Test Engineering, Engineering, Software, Programming, SharePoint Services","DMC is an established project-based engineering and software development firm founded in 1996 serving customers worldwide from our offices in Chicago, Boston, & Denver. We develop and implement solutions for a wide range of industries using a variety of technologies. Every solution we develop is based upon a solid understanding of software and system integration principles. DMC maintains premier technology partnerships with Microsoft, Siemens, and National Instruments. DMC's expertise falls into the following 4 categories: MANUFACTURING AUTOMATION & INTELLIGENCE SERVICES DMC creates the control systems and software that run manufacturing operations. Our solutions reduce costs, improve productivity, and increase quality. DMC uses a variety of technologies and platforms including: PLCs, vision systems, motion controllers, MES, SCADA TEST AND MEASUREMENT AUTOMATION SERVICES DMC has been a National Instruments Alliance member for over 10 years with one of the largest teams of certified LabVIEW developers and architects in the country CUSTOM SOFTWARE ENGINEERING SERVICES DMC's multi-disciplined team leverages industry and engineering expertise creating software for hardware-based systems, including: Application development, component selection, driver/SDK development, hardware design SHAREPOINT CONSULTING SERVICES DMC's business and technology expertise help your organization maximize Microsoft SharePoint benefits: Find documents fast, avoid costly mistakes, improve collaboration and communication"
dsc-logistics,DSC Logistics,Logistics and Supply Chain,Privately Held,1001-5000 employees,1960,http://www.dsclogistics.com,"Des Plaines,",Illinois,60018,United States,,"DSC Logistics is a leader in transforming logistics and supply chain management into a critical business strategy based on collaborative partnerships, innovative thinking, and high-performance operations. Led by CEO Ann Drake, the first woman to receive CSCMP's Distinguished Service Award, DSC achieves the business goals of Fortune 500 and other dynamic companies by designing, integrating, managing and adapting customized supply chain solutions."
echo-global-logistics,Echo Global Logistics,Logistics and Supply Chain,Public Company,1001-5000 employees,2005,http://www.echo.com,Chicago,IL,60654,United States,"3PL, TMS, Evolved Transportation Management","Echo Global Logistics is a leading provider of technology-enabled transportation and supply chain management services, delivered on a proprietary technology platform, serving the transportation and logistics needs of its clients. EchoÍs web-based technology platform compiles and analyzes data from its network of over 24,000 transportation providers to serve its clientsÍ shipping and freight management needs. This year, Echo has procured transportation and provided logistics services for more than 22,700 clients across a wide range of industries, such as manufacturing, construction, consumer products and retail. Echo has built a team of talented people who, supported by our proprietary technology, are actively producing outstanding results for clients and investors alike. Operating from 17 locations nationwide, we create transportation and logistics solutions for more businesses in more locations than ever before, always with a single-minded focus on simplifying each clientÍs transportation management challenges. We take the ñcomplicatedî out of transportation management. For more information on Echo, visit: www.echo.com."
ecs-limited,ECS Limited,Civil Engineering,Privately Held,1001-5000 employees,1988,http://www.ecslimited.com,Chantilly,VA,20151,United States,"Geotechnical Engineering, Environmental Consulting, Construction Materials Testing/Inspection, Building Facilities Engineering & Consulting","ECS Limited is a Chantilly, VA-based consulting engineering firm. Organizationally we have more than 40 offices and about 1100 employees in nine operating subsidiaries. Subsidiaries and their headquarter offices include: - ECS Mid-Atlantic, LLC [Chantilly, VA]; - ECS Carolinas, LLP [Greensboro, NC]; - ECS Midwest, LLC [Chicago, IL]; - ECS Southeast, LLC [Atlanta, GA]; - ECS Florida, LLC [Orlando, FL]; - ECS Texas, LLP [Dallas, TX]; - ECS Central PLLC [Nashville, TN]; - ECS Capitol Services, PLLC [Washington, DC]; - ECS Corporate Services [Chantilly, VA - provides administrative/support services to all operating subsidiaries]. Founded in 1988, ECS is an employee-owned corporation committed to providing high quality, innovative services. The professional staff at ECS delivers value-added solutions through our core service lines: Geotechnical Engineering, Environmental Consulting, Construction Materials Testing/Inspection, and Facilities Engineering and Consulting. 'Setting the Standard for Serviceê is our corporate philosophy that permeates everything we do. We embrace providing services on time and under budget while adding value to our clients. Our goal is to provide high-quality engineering and related services; and to be recognized by our clients and colleagues for our innovative ideas, responsiveness and value. Our high repeat business volume, recommendations from our clients and professional associates are all measures of our commitment to the industry we proudly serve. At ECS, itês not just about getting the job done _ itês about getting the job done right. Talent acquisition at ECS receives strategic focus. We keep our career center current and up-to-date! So if you are looking for a new career opportunity or know someone who is, please visit www.ecslimited.com and submit your resume through our career center for review by our dedicated recruiting team."
epic_163658,Epic,Computer Software,Privately Held,"5001-10,000 employees",1979,http://www.epic.com,Verona,WI,53593,United States,"healthcare, emr, ehr, phr","As a worldwide leader in the development of software for healthcare organizations, Epic is driving change for an entire industry _ and not just any industry _ one that impacts the quality of life for everyone. Our software is currently used to help care for 150 million people in the US alone. We work with some of the nationês most respected healthcare organizations and leading research institutions to develop, implement and support software to reduce medical errors, improve screening for diseases, and increase the quality of patient care. Founded in 1979, Epic is private and employee-owned. We've grown to a company of over 6,000 intelligent, motivated, and principled people who are dedicated to making a positive impact on the healthcare industry."
